Test Instrument:,Cary 500 (1437)
819.1000, 56.4812
819.2000, 57.1159
819.3000, 57.6496
819.4000, 58.0982
819.5000, 58.4770
819.6000, 58.8005
819.7000, 59.0815
819.8000, 59.3311
819.9000, 59.5585
820.0000, 59.7712
820.1000, 59.9750
820.2000, 60.1745
820.3000, 60.3735
820.4000, 60.5747
820.5000, 60.7806
820.6000, 60.9929
820.7000, 61.2129
820.8000, 61.4415
820.9000, 61.6789
821.0000, 61.9250
821.1000, 62.1789
821.2000, 62.4394
821.3000, 62.7045
821.4000, 62.9720
821.5000, 63.2390
821.6000, 63.5021
821.7000, 63.7572
821.8000, 64.0000
821.9000, 64.2254
822.0000, 64.4283
822.1000, 64.6040
822.2000, 64.7483
822.3000, 64.8582
822.4000, 64.9320
822.5000, 64.9695
822.6000, 64.9715
822.7000, 64.9396
822.8000, 64.8757
822.9000, 64.7816
823.0000, 64.6585
823.1000, 64.5074
823.2000, 64.3292
823.3000, 64.1246
823.4000, 63.8951
823.5000, 63.6425
823.6000, 63.3694
823.7000, 63.0787
823.8000, 62.7737
823.9000, 62.4578
824.0000, 62.1340
824.1000, 61.8049
824.2000, 61.4725
824.3000, 61.1377
824.4000, 60.8008
824.5000, 60.4609
824.6000, 60.1164
824.7000, 59.7649
824.8000, 59.4038
824.9000, 59.0301
825.0000, 58.6410
825.1000, 58.2331
825.2000, 57.8028
825.3000, 57.3453
825.4000, 56.8545
825.5000, 56.3221
825.6000, 55.7380
825.7000, 55.0907
825.8000, 54.3676
825.9000, 53.5565
826.0000, 52.6463
826.1000, 51.6288
826.2000, 50.4987
826.3000, 49.2545
826.4000, 47.8982
826.5000, 46.4351
826.6000, 44.8731
826.7000, 43.2218
826.8000, 41.4923
826.9000, 39.6964
827.0000, 37.8464
827.1000, 35.9554
827.2000, 34.0369
827.3000, 32.1050
827.4000, 30.1748
827.5000, 28.2616
827.6000, 26.3811
827.7000, 24.5483
827.8000, 22.7775
827.9000, 21.0810
828.0000, 19.4686
828.1000, 17.9475
828.2000, 16.5217
828.3000, 15.1923
828.4000, 13.9579
828.5000, 12.8152
828.6000, 11.7596
828.7000, 10.7860
828.8000,  9.8891
828.9000,  9.0641
829.0000,  8.3064
829.1000,  7.6119
829.2000,  6.9765
829.3000,  6.3965
829.4000,  5.8680
829.5000,  5.3871
829.6000,  4.9498
829.7000,  4.5522
829.8000,  4.1904
829.9000,  3.8611
830.0000,  3.5608
830.1000,  3.2868
830.2000,  3.0365
830.3000,  2.8076
830.4000,  2.5983
830.5000,  2.4067
830.6000,  2.2311
830.7000,  2.0702
830.8000,  1.9226
830.9000,  1.7870
831.0000,  1.6622
831.1000,  1.5474
831.2000,  1.4415
831.3000,  1.3439
831.4000,  1.2537
831.5000,  1.1703
831.6000,  1.0933
831.7000,  1.0219
831.8000,  0.9559
831.9000,  0.8946
832.0000,  0.8379
832.1000,  0.7853
832.2000,  0.7366
832.3000,  0.6915
832.4000,  0.6497
832.5000,  0.6110
832.6000,  0.5752
832.7000,  0.5418
832.8000,  0.5106
832.9000,  0.4814
833.0000,  0.4541
833.1000,  0.4285
833.2000,  0.4044
833.3000,  0.3820
833.4000,  0.3610
833.5000,  0.3415
833.6000,  0.3233
833.7000,  0.3063
833.8000,  0.2904
833.9000,  0.2754
834.0000,  0.2612
834.1000,  0.2478
834.2000,  0.2352
834.3000,  0.2232
834.4000,  0.2120
834.5000,  0.2015
834.6000,  0.1917
834.7000,  0.1825
834.8000,  0.1739
834.9000,  0.1659
835.0000,  0.1583
835.1000,  0.1512
835.2000,  0.1444
835.3000,  0.1380
835.4000,  0.1319
835.5000,  0.1260
835.6000,  0.1205
835.7000,  0.1152
835.8000,  0.1101
835.9000,  0.1053
836.0000,  0.1007
836.1000,  0.0963
836.2000,  0.0921
836.3000,  0.0882
836.4000,  0.0846
836.5000,  0.0812
836.6000,  0.0780
836.7000,  0.0751
836.8000,  0.0723
836.9000,  0.0696
837.0000,  0.0670
837.1000,  0.0644
837.2000,  0.0618
837.3000,  0.0592
837.4000,  0.0567
837.5000,  0.0542
837.6000,  0.0519
837.7000,  0.0498
837.8000,  0.0478
837.9000,  0.0460
838.0000,  0.0443
838.1000,  0.0428
838.2000,  0.0413
838.3000,  0.0400
838.4000,  0.0387
838.5000,  0.0375
838.6000,  0.0363
838.7000,  0.0351
838.8000,  0.0339
838.9000,  0.0327
839.0000,  0.0316
839.1000,  0.0302
839.2000,  0.0289
839.3000,  0.0278
839.4000,  0.0261
839.5000,  0.0254
839.6000,  0.0244
839.7000,  0.0224
839.8000,  0.0260
839.9000,  0.0218
840.0000,  0.0240
