Test Instrument:,Cary 500 (1437)
566.3000,  0.1277
566.4000,  0.1346
566.5000,  0.1420
566.6000,  0.1498
566.7000,  0.1582
566.8000,  0.1672
566.9000,  0.1769
567.0000,  0.1872
567.1000,  0.1983
567.2000,  0.2103
567.3000,  0.2231
567.4000,  0.2368
567.5000,  0.2516
567.6000,  0.2674
567.7000,  0.2843
567.8000,  0.3024
567.9000,  0.3218
568.0000,  0.3426
568.1000,  0.3650
568.2000,  0.3890
568.3000,  0.4148
568.4000,  0.4426
568.5000,  0.4726
568.6000,  0.5049
568.7000,  0.5399
568.8000,  0.5777
568.9000,  0.6186
569.0000,  0.6628
569.1000,  0.7108
569.2000,  0.7628
569.3000,  0.8193
569.4000,  0.8806
569.5000,  0.9473
569.6000,  1.0200
569.7000,  1.0991
569.8000,  1.1856
569.9000,  1.2800
570.0000,  1.3833
570.1000,  1.4965
570.2000,  1.6206
570.3000,  1.7568
570.4000,  1.9066
570.5000,  2.0713
570.6000,  2.2527
570.7000,  2.4526
570.8000,  2.6730
570.9000,  2.9162
571.0000,  3.1846
571.1000,  3.4813
571.2000,  3.8092
571.3000,  4.1722
571.4000,  4.5743
571.5000,  5.0202
571.6000,  5.5150
571.7000,  6.0648
571.8000,  6.6759
571.9000,  7.3554
572.0000,  8.1107
572.1000,  8.9497
572.2000,  9.8801
572.3000, 10.9097
572.4000, 12.0457
572.5000, 13.2943
572.6000, 14.6605
572.7000, 16.1476
572.8000, 17.7566
572.9000, 19.4862
573.0000, 21.3319
573.1000, 23.2862
573.2000, 25.3382
573.3000, 27.4735
573.4000, 29.6749
573.5000, 31.9219
573.6000, 34.1918
573.7000, 36.4601
573.8000, 38.7015
573.9000, 40.8905
574.0000, 43.0027
574.1000, 45.0152
574.2000, 46.9083
574.3000, 48.6653
574.4000, 50.2736
574.5000, 51.7251
574.6000, 53.0158
574.7000, 54.1464
574.8000, 55.1212
574.9000, 55.9484
575.0000, 56.6387
575.1000, 57.2051
575.2000, 57.6622
575.3000, 58.0250
575.4000, 58.3089
575.5000, 58.5284
575.6000, 58.6973
575.7000, 58.8280
575.8000, 58.9315
575.9000, 59.0170
576.0000, 59.0922
576.1000, 59.1630
576.2000, 59.2340
576.3000, 59.3085
576.4000, 59.3884
576.5000, 59.4747
576.6000, 59.5677
576.7000, 59.6666
576.8000, 59.7703
576.9000, 59.8772
577.0000, 59.9850
577.1000, 60.0913
577.2000, 60.1936
577.3000, 60.2891
577.4000, 60.3751
577.5000, 60.4489
577.6000, 60.5079
577.7000, 60.5501
577.8000, 60.5735
577.9000, 60.5765
578.0000, 60.5583
578.1000, 60.5181
578.2000, 60.4558
578.3000, 60.3718
578.4000, 60.2669
578.5000, 60.1422
578.6000, 59.9993
578.7000, 59.8401
578.8000, 59.6667
578.9000, 59.4812
579.0000, 59.2863
579.1000, 59.0841
579.2000, 58.8771
579.3000, 58.6674
579.4000, 58.4569
579.5000, 58.2473
579.6000, 58.0398
579.7000, 57.8350
579.8000, 57.6330
579.9000, 57.4332
580.0000, 57.2342
580.1000, 57.0336
580.2000, 56.8282
580.3000, 56.6136
580.4000, 56.3844
580.5000, 56.1341
580.6000, 55.8551
580.7000, 55.5387
580.8000, 55.1757
580.9000, 54.7559
581.0000, 54.2686
581.1000, 53.7033
581.2000, 53.0495
581.3000, 52.2973
581.4000, 51.4381
581.5000, 50.4646
581.6000, 49.3717
581.7000, 48.1566
581.8000, 46.8195
581.9000, 45.3633
582.0000, 43.7942
582.1000, 42.1216
582.2000, 40.3574
582.3000, 38.5164
582.4000, 36.6150
582.5000, 34.6713
582.6000, 32.7041
582.7000, 30.7322
582.8000, 28.7738
582.9000, 26.8462
583.0000, 24.9650
583.1000, 23.1437
583.2000, 21.3940
583.3000, 19.7250
583.4000, 18.1439
583.5000, 16.6553
583.6000, 15.2623
583.7000, 13.9656
583.8000, 12.7647
583.9000, 11.6575
584.0000, 10.6408
584.1000,  9.7105
584.2000,  8.8617
584.3000,  8.0891
584.4000,  7.3871
584.5000,  6.7499
584.6000,  6.1719
584.7000,  5.6477
584.8000,  5.1721
584.9000,  4.7404
585.0000,  4.3482
585.1000,  3.9918
585.2000,  3.6675
585.3000,  3.3724
585.4000,  3.1037
585.5000,  2.8590
585.6000,  2.6359
585.7000,  2.4325
585.8000,  2.2470
585.9000,  2.0776
586.0000,  1.9228
586.1000,  1.7811
586.2000,  1.6514
586.3000,  1.5324
586.4000,  1.4231
586.5000,  1.3226
586.6000,  1.2302
586.7000,  1.1451
586.8000,  1.0667
586.9000,  0.9944
587.0000,  0.9278
587.1000,  0.8663
587.2000,  0.8096
587.3000,  0.7572
587.4000,  0.7087
587.5000,  0.6639
587.6000,  0.6223
587.7000,  0.5837
587.8000,  0.5478
587.9000,  0.5144
588.0000,  0.4834
588.1000,  0.4544
588.2000,  0.4275
588.3000,  0.4023
588.4000,  0.3789
588.5000,  0.3571
588.6000,  0.3367
588.7000,  0.3178
588.8000,  0.3000
588.9000,  0.2835
589.0000,  0.2680
589.1000,  0.2535
589.2000,  0.2400
589.3000,  0.2273
589.4000,  0.2154
589.5000,  0.2042
589.6000,  0.1938
589.7000,  0.1840
589.8000,  0.1748
589.9000,  0.1662
590.0000,  0.1581
590.1000,  0.1505
590.2000,  0.1433
590.3000,  0.1365
590.4000,  0.1300
590.5000,  0.1239
590.6000,  0.1181
590.7000,  0.1125
590.8000,  0.1072
590.9000,  0.1022
591.0000,  0.0975
591.1000,  0.0930
591.2000,  0.0888
591.3000,  0.0848
591.4000,  0.0811
591.5000,  0.0776
591.6000,  0.0744
591.7000,  0.0713
591.8000,  0.0684
591.9000,  0.0656
592.0000,  0.0630
592.1000,  0.0605
592.2000,  0.0580
592.3000,  0.0556
592.4000,  0.0533
592.5000,  0.0511
592.6000,  0.0490
592.7000,  0.0469
592.8000,  0.0450
592.9000,  0.0433
593.0000,  0.0416
593.1000,  0.0401
593.2000,  0.0387
593.3000,  0.0374
593.4000,  0.0362
593.5000,  0.0350
593.6000,  0.0339
593.7000,  0.0328
593.8000,  0.0316
593.9000,  0.0305
594.0000,  0.0293
594.1000,  0.0282
594.2000,  0.0270
594.3000,  0.0259
594.4000,  0.0249
594.5000,  0.0239
594.6000,  0.0230
594.7000,  0.0221
594.8000,  0.0213
594.9000,  0.0207
595.0000,  0.0200
595.1000,  0.0194
595.2000,  0.0189
595.3000,  0.0184
595.4000,  0.0178
595.5000,  0.0173
595.6000,  0.0168
595.7000,  0.0163
595.8000,  0.0158
595.9000,  0.0153
596.0000,  0.0149
596.1000,  0.0144
596.2000,  0.0141
596.3000,  0.0140
596.4000,  0.0134
596.5000,  0.0137
596.6000,  0.0136
596.7000,  0.0120
596.8000,  0.0154
596.9000,  0.0108
597.0000,  0.0108
