Test Instrument:,Cary 500 (1437)
551.1000,  1.6591
551.2000,  1.5605
551.3000,  1.4685
551.4000,  1.3828
551.5000,  1.3027
551.6000,  1.2281
551.7000,  1.1585
551.8000,  1.0936
551.9000,  1.0330
552.0000,  0.9765
552.1000,  0.9235
552.2000,  0.8738
552.3000,  0.8270
552.4000,  0.7830
552.5000,  0.7415
552.6000,  0.7024
552.7000,  0.6656
552.8000,  0.6310
552.9000,  0.5985
553.0000,  0.5681
553.1000,  0.5395
553.2000,  0.5127
553.3000,  0.4875
553.4000,  0.4638
553.5000,  0.4414
553.6000,  0.4203
553.7000,  0.4004
553.8000,  0.3816
553.9000,  0.3638
554.0000,  0.3469
554.1000,  0.3310
554.2000,  0.3159
554.3000,  0.3016
554.4000,  0.2880
554.5000,  0.2752
554.6000,  0.2630
554.7000,  0.2515
554.8000,  0.2405
554.9000,  0.2302
555.0000,  0.2204
555.1000,  0.2111
555.2000,  0.2023
555.3000,  0.1939
555.4000,  0.1860
555.5000,  0.1786
555.6000,  0.1715
555.7000,  0.1648
555.8000,  0.1585
555.9000,  0.1524
556.0000,  0.1467
556.1000,  0.1412
556.2000,  0.1358
556.3000,  0.1307
556.4000,  0.1256
556.5000,  0.1208
556.6000,  0.1161
556.7000,  0.1116
556.8000,  0.1074
556.9000,  0.1034
557.0000,  0.0997
557.1000,  0.0963
557.2000,  0.0931
557.3000,  0.0901
557.4000,  0.0872
557.5000,  0.0843
557.6000,  0.0815
557.7000,  0.0787
557.8000,  0.0760
557.9000,  0.0733
558.0000,  0.0707
558.1000,  0.0682
558.2000,  0.0658
558.3000,  0.0636
558.4000,  0.0615
558.5000,  0.0594
558.6000,  0.0575
558.7000,  0.0555
558.8000,  0.0536
558.9000,  0.0518
559.0000,  0.0501
559.1000,  0.0484
559.2000,  0.0468
559.3000,  0.0453
559.4000,  0.0439
559.5000,  0.0426
559.6000,  0.0415
559.7000,  0.0402
559.8000,  0.0395
559.9000,  0.0388
560.0000,  0.0369
